critical_temp,material,alkali_metals,alkaline_earth_metals,transition_metals,posttransition_metals,lanthanoid_metals,metalloids,reactive_nonmetals,noble_gases,tc_quantile
53.0,La1.2Ba1.47Ca0.33Cu3O,nan,Ba,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
43.0,La1.1Ba1.57Ca0.33Cu3O,nan,Ba,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
30.0,La1.4Ba1.4Ca0.2Cu3O,nan,Ba,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
58.0,La1.3Ba1.3Ca0.4Cu3O,nan,Ba,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
77.0,La1Ba1.5Ca0.5Cu3O,nan,Ba,Cu,nan,La,nan,O,nan,very high critical temp(< 185 K)
50.0,La1.5Ba1Ca0.5Cu3O,nan,Ba,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
41.2,La2Cu1O4,nan,nan,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
33.6,La1.95Ba0.05Cu1O4,nan,Ba,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
31.1,La1.92Ba0.08Cu1O4,nan,Ba,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
28.4,La1.875Ba0.125Cu1O4,nan,Ba,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
30.3,La1.855Ba0.145Cu1O4,nan,Ba,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
29.8,La1.84Ba0.16Cu1O4,nan,Ba,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
16.5,La1.8Ba0.2Cu1O4,nan,Ba,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
14.7,Na1N1C60,Na,nan,nan,nan,nan,nan,C,nan,moderate critical temp(< 32 K)
85.4,Bi2Sr2Ca1Cu2O8,nan,Sr,Cu,Bi,nan,nan,O,nan,very high critical temp(< 185 K)
89.9,Y0.985Ca0.015Ba2Cu3O6.98,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
86.7,Y0.97Ca0.03Ba2Cu3O6.97,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
83.4,Y0.94Ca0.06Ba2Cu3O6.97,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
93.5,Y1Ba1.9La0.1Cu3O6.96,nan,Ba,Cu,nan,La,nan,O,nan,very high critical temp(< 185 K)
93.6,Y1Ba1.89La0.11Cu3O6.96,nan,Ba,Cu,nan,La,nan,O,nan,very high critical temp(< 185 K)
93.2,Y1Ba1.88La0.12Cu3O6.96,nan,Ba,Cu,nan,La,nan,O,nan,very high critical temp(< 185 K)
91.9,Y1Ba1.86La0.14Cu3O6.96,nan,Ba,Cu,nan,La,nan,O,nan,very high critical temp(< 185 K)
93.6,Y1Ba1.96La0.04Cu3O6.96,nan,Ba,Cu,nan,La,nan,O,nan,very high critical temp(< 185 K)
93.8,Y1Ba1.95La0.05Cu3O6.96,nan,Ba,Cu,nan,La,nan,O,nan,very high critical temp(< 185 K)
94.0,Y1Ba1.94La0.06Cu3O6.96,nan,Ba,Cu,nan,La,nan,O,nan,very high critical temp(< 185 K)
94.0,Y1Ba1.92La0.08Cu3O6.96,nan,Ba,Cu,nan,La,nan,O,nan,very high critical temp(< 185 K)
91.3,Y1Ba2Cu3O6.96,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
92.1,Y1Ba1.99La0.01Cu3O6.96,nan,Ba,Cu,nan,La,nan,O,nan,very high critical temp(< 185 K)
92.6,Y1Ba1.98La0.02Cu3O6.96,nan,Ba,Cu,nan,La,nan,O,nan,very high critical temp(< 185 K)
93.2,Y1Ba1.97La0.03Cu3O6.96,nan,Ba,Cu,nan,La,nan,O,nan,very high critical temp(< 185 K)
4.0,La1.875Ba0.125Cu1O4,nan,Ba,Cu,nan,La,nan,O,nan,very low critical temp(< 4 K)
30.0,La1.875Ba0.125Cu1O4,nan,Ba,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
22.5,Ba0.55K0.45Bi1O3,K,Ba,nan,Bi,nan,nan,O,nan,moderate critical temp(< 32 K)
20.0,Ba0.55K0.45Bi1O3,K,Ba,nan,Bi,nan,nan,O,nan,moderate critical temp(< 32 K)
91.0,Sr1Cu1O2,nan,Sr,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
110.0,Ca0.285Sr0.665Cu1O2,nan,Sr,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
43.0,Sr0.92Sm0.08Cu1O2,nan,Sr,Cu,nan,Sm,nan,O,nan,high critical temp(< 74 K)
40.0,Y1.2Pr0.8Ba4Cu7O15,nan,Ba,Cu,nan,Pr,nan,O,nan,high critical temp(< 74 K)
43.0,Sr0.9La0.1Cu1O2,nan,Sr,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
15.0,Bi1.95Sr1.65La0.4Cu1O6,nan,Sr,Cu,Bi,La,nan,O,nan,moderate critical temp(< 32 K)
82.0,Tl0.5Pb0.5Sr2Ca1Cu2O7,nan,Sr,Cu,Tl,nan,nan,O,nan,very high critical temp(< 185 K)
100.0,Hg0.67Tl1.33Ba2Ca1Cu2O8,nan,Ba,Cu,Tl,nan,nan,O,nan,very high critical temp(< 185 K)
28.9,La1.9Sr0.1Cu1H0.1O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
35.4,La1.85Sr0.15Cu1H0.1O4,nan,Sr,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
35.5,La1.8Sr0.2Cu1H0.1O4,nan,Sr,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
26.8,La1.75Sr0.25Cu1H0.1O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
35.0,Y1Sr2Cu2.7Ti0.3O7.224,nan,Sr,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
23.0,Y1Sr2Cu2.7Ti0.3O7.152,nan,Sr,Cu,nan,nan,nan,O,nan,moderate critical temp(< 32 K)
12.0,Y1Sr2Cu2.7Ti0.3O7.144,nan,Sr,Cu,nan,nan,nan,O,nan,low critical temp(< 12 K)
38.6,Sr0.95Y0.05Cu1O2,nan,Sr,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
36.6,Sr0.9Y0.1Cu1O2,nan,Sr,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
36.6,Sr0.85Y0.15Cu1O2,nan,Sr,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
38.6,Sr0.8Y0.2Cu1O2,nan,Sr,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
38.6,Sr0.75Y0.25Cu1O2,nan,Sr,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
32.6,Sr0.7Y0.3Cu1O2,nan,Sr,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
78.0,Tl2Ba2Cu1O6,nan,Ba,Cu,Tl,nan,nan,O,nan,very high critical temp(< 185 K)
83.0,Tl2Ba2Cu1O6,nan,Ba,Cu,Tl,nan,nan,O,nan,very high critical temp(< 185 K)
73.0,Tl1Sr2Ca1Cu2O7,nan,Sr,Cu,Tl,nan,nan,O,nan,high critical temp(< 74 K)
41.0,Bi1.6Pb0.4Sr4Cu2C1O11,nan,Sr,Cu,Bi,nan,nan,O,nan,high critical temp(< 74 K)
54.0,Bi1.6Pb0.4Sr6Cu3C2O16,nan,Sr,Cu,Bi,nan,nan,O,nan,high critical temp(< 74 K)
32.0,Sr2Cu1C0.85B0.15O5,nan,Sr,Cu,nan,nan,B,O,nan,high critical temp(< 74 K)
105.0,Sr15.9Ca7.6Cu17.6C3.3B2.6O53,nan,Sr,Cu,nan,nan,B,O,nan,very high critical temp(< 185 K)
115.0,Sr16.7Ca7.7Cu19.4C1.9B2.9O51.7,nan,Sr,Cu,nan,nan,B,O,nan,very high critical temp(< 185 K)
20.9,Pr1.85Ce0.15Cu1O4,nan,nan,Cu,nan,Pr,nan,O,nan,moderate critical temp(< 32 K)
21.9,Sm1.85Ce0.15Cu1O4,nan,nan,Cu,nan,Sm,nan,O,nan,moderate critical temp(< 32 K)
26.4,Nd1.85Ce0.15Cu1O4,nan,nan,Cu,nan,Nd,nan,O,nan,moderate critical temp(< 32 K)
40.7,Sr0.9La0.1Cu1O2,nan,Sr,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
40.6,Sr0.9La0.1Cu1O2,nan,Sr,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
40.8,Sr0.9La0.1Cu1O2,nan,Sr,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
67.0,C0.5Ba2Ca2Cu3.5O9,nan,Ca,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
117.0,C0.5Ba2Ca3Cu4.5O11,nan,Ca,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
22.0,La1.945Rb0.055Cu1O4,Rb,nan,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
20.0,La1.935K0.065Cu1O4,K,nan,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
28.0,La1.929Na0.071Cu1O4,Na,nan,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
81.0,Y1Ba2Cu2.949Co0.051O7,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
68.0,Y1Ba2Cu2.871Co0.129O7,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
89.5,Y1Ba2Cu3O7.01,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
67.0,Y1Ba2Cu3O6.84,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
51.0,Y1Ba2Cu3O6.63,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
114.0,Tl1Ba2Ca3Cu4O11,nan,Ca,Cu,Tl,nan,nan,O,nan,very high critical temp(< 185 K)
27.0,Bi1.95Sr1.85La0.2Cu1O4,nan,Sr,Cu,Bi,La,nan,O,nan,moderate critical temp(< 32 K)
33.0,Bi1.95Sr1.75La0.3Cu1O4,nan,Sr,Cu,Bi,La,nan,O,nan,high critical temp(< 74 K)
36.0,Bi1.95Sr1.65La0.4Cu1O4,nan,Sr,Cu,Bi,La,nan,O,nan,high critical temp(< 74 K)
24.0,Bi1.95Sr1.45La0.6Cu1O4,nan,Sr,Cu,Bi,La,nan,O,nan,moderate critical temp(< 32 K)
19.0,Bi1.95Sr1.25La0.8Cu1O4,nan,Sr,Cu,Bi,La,nan,O,nan,moderate critical temp(< 32 K)
28.0,Bi1.95Sr1.85Pr0.2Cu1O4,nan,Sr,Cu,Bi,Pr,nan,O,nan,moderate critical temp(< 32 K)
32.0,Bi1.95Sr1.75Pr0.3Cu1O4,nan,Sr,Cu,Bi,Pr,nan,O,nan,high critical temp(< 74 K)
35.0,Bi1.95Sr1.65Pr0.4Cu1O4,nan,Sr,Cu,Bi,Pr,nan,O,nan,high critical temp(< 74 K)
22.0,Bi1.95Sr1.45Pr0.6Cu1O4,nan,Sr,Cu,Bi,Pr,nan,O,nan,moderate critical temp(< 32 K)
17.0,Bi1.95Sr1.25Pr0.8Cu1O4,nan,Sr,Cu,Bi,Pr,nan,O,nan,moderate critical temp(< 32 K)
26.0,Bi1.95Sr1.85Nd0.2Cu1O4,nan,Sr,Cu,Bi,Nd,nan,O,nan,moderate critical temp(< 32 K)
30.0,Bi1.95Sr1.75Nd0.3Cu1O4,nan,Sr,Cu,Bi,Nd,nan,O,nan,moderate critical temp(< 32 K)
35.0,Bi1.95Sr1.65Nd0.4Cu1O4,nan,Sr,Cu,Bi,Nd,nan,O,nan,high critical temp(< 74 K)
18.0,Bi1.95Sr1.45Nd0.6Cu1O4,nan,Sr,Cu,Bi,Nd,nan,O,nan,moderate critical temp(< 32 K)
36.0,Bi1.6Pb0.4Sr1.6La0.4Cu1O4,nan,Sr,Cu,Bi,La,nan,O,nan,high critical temp(< 74 K)
88.4,Yb1Ba2Cu3O6.95,nan,Ba,Cu,nan,Yb,nan,O,nan,very high critical temp(< 185 K)
89.1,Yb0.95Pr0.05Ba2Cu3O6.9,nan,Ba,Cu,nan,Yb,nan,O,nan,very high critical temp(< 185 K)
88.0,Yb0.9Pr0.1Ba2Cu3O6.92,nan,Ba,Cu,nan,Yb,nan,O,nan,very high critical temp(< 185 K)
79.9,Yb0.8Pr0.2Ba2Cu3O6.88,nan,Ba,Cu,nan,Yb,nan,O,nan,very high critical temp(< 185 K)
67.2,Yb0.7Pr0.3Ba2Cu3O6.87,nan,Ba,Cu,nan,Yb,nan,O,nan,high critical temp(< 74 K)
50.5,Yb0.6Pr0.4Ba2Cu3O6.91,nan,Ba,Cu,nan,Yb,nan,O,nan,high critical temp(< 74 K)
34.8,Yb0.5Pr0.5Ba2Cu3O6.9,nan,Ba,Cu,nan,Pr,nan,O,nan,high critical temp(< 74 K)
18.3,Yb0.45Pr0.55Ba2Cu3O6.92,nan,Ba,Cu,nan,Pr,nan,O,nan,moderate critical temp(< 32 K)
36.4,La1.83Sr0.17Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
22.8,La1.83Sr0.17Cu0.98Ni0.02O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
15.2,La1.83Sr0.17Cu0.97Ni0.03O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
13.5,La1.83Sr0.17Cu0.65Ni0.35O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
7.7,La1.83Sr0.17Cu0.96Ni0.04O4,nan,Sr,Cu,nan,La,nan,O,nan,low critical temp(< 12 K)
28.0,La1.8Sr0.2Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
23.4,La1.8Sr0.2Cu0.99Ni0.01O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
16.8,La1.8Sr0.2Cu0.98Ni0.02O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
10.9,La1.8Sr0.2Cu0.97Ni0.03O4,nan,Sr,Cu,nan,La,nan,O,nan,low critical temp(< 12 K)
8.0,La1.8Sr0.2Cu0.65Ni0.35O4,nan,Sr,Cu,nan,La,nan,O,nan,low critical temp(< 12 K)
5.1,La1.8Sr0.2Cu0.96Ni0.04O4,nan,Sr,Cu,nan,La,nan,O,nan,low critical temp(< 12 K)
29.4,La1.9Sr0.1Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
11.5,La1.9Sr0.1Cu0.99Ni0.01O4,nan,Sr,Cu,nan,La,nan,O,nan,low critical temp(< 12 K)
14.4,La0.75Sr0.25Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
8.1,La1.75Sr0.25Cu0.98Ni0.02O4,nan,Sr,Cu,nan,La,nan,O,nan,low critical temp(< 12 K)
4.7,La1.75Sr0.25Cu0.97Ni0.03O4,nan,Sr,Cu,nan,La,nan,O,nan,low critical temp(< 12 K)
2.5,La1.75Sr0.25Cu0.96Ni0.04O4,nan,Sr,Cu,nan,La,nan,O,nan,very low critical temp(< 4 K)
0.001,La1.85Sr0.15Cu0.96Ni0.04O4,nan,Sr,Cu,nan,La,nan,O,nan,very low critical temp(< 4 K)
8.2,La1.83Sr0.17Cu0.96Ni0.04O4,nan,Sr,Cu,nan,La,nan,O,nan,low critical temp(< 12 K)
7.6,La1.8Sr0.2Cu0.96Ni0.04O4,nan,Sr,Cu,nan,La,nan,O,nan,low critical temp(< 12 K)
0.001,La1.95Sr0.05Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,very low critical temp(< 4 K)
37.2,La1.83Sr0.17Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
31.4,La1.8Sr0.2Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
16.8,La1.75Sr0.25Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
0.001,La1.92Sr0.08Cu0.99Ni0.01O4,nan,Sr,Cu,nan,La,nan,O,nan,very low critical temp(< 4 K)
13.1,La1.9Sr0.1Cu0.99Ni0.01O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
31.2,La1.83Sr0.17Cu0.99Ni0.01O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
24.5,La1.8Sr0.2Cu0.99Ni0.01O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
113.0,C1Ba3Ca3Cu5O13,nan,Ca,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
110.0,C1Ba3Ca3Cu5O13,nan,Ca,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
122.0,Hg0.5Tl0.5Ba2Ca0.86Sr0.14Cu2O6,nan,Ba,Cu,Hg,nan,nan,O,nan,very high critical temp(< 185 K)
100.0,Hg0.5Tl0.5Ba2Ca0.86Sr0.14Cu2O6,nan,Ba,Cu,Hg,nan,nan,O,nan,very high critical temp(< 185 K)
90.4,Sm1Ba2Cu3O6.85,nan,Ba,Cu,nan,Sm,nan,O,nan,very high critical temp(< 185 K)
45.0,Sm1Ba2Cu3O6.73,nan,Ba,Cu,nan,Sm,nan,O,nan,high critical temp(< 74 K)
50.0,Sm1.27Ba1.73Cu3O7.05,nan,Ba,Cu,nan,Sm,nan,O,nan,high critical temp(< 74 K)
30.0,Tm1.83Ca0.17Cu1O3.99,nan,Ca,Cu,nan,Tm,nan,O,nan,moderate critical temp(< 32 K)
45.0,Y0.7Ca0.3Sr2Cu2.5Se0.5O7,nan,Sr,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
24.0,Tl1.7Ba2Cu1O6,nan,Ba,Cu,Tl,nan,nan,O,nan,moderate critical temp(< 32 K)
104.0,Tl1.8Ba2Ca0.85Cu2.2O8,nan,Ba,Cu,Tl,nan,nan,O,nan,very high critical temp(< 185 K)
92.74,Y1Ba2Cu3O6.95,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
77.5,Hg0.67Bi0.33Sr2Y0.67Ca0.33Cu2O6,nan,Sr,Cu,Hg,nan,nan,O,nan,very high critical temp(< 185 K)
13.0,Bi1.95Sr1.65La0.4Cu1O6,nan,Sr,Cu,Bi,La,nan,O,nan,moderate critical temp(< 32 K)
85.0,Bi2.1Sr1.9Ca1Cu2O8,nan,Sr,Cu,Bi,nan,nan,O,nan,very high critical temp(< 185 K)
89.0,Bi2Sr2Ca0.7Yb0.3Cu2O8,nan,Sr,Cu,Bi,Yb,nan,O,nan,very high critical temp(< 185 K)
77.0,Bi2Pb0.25Sr1.75Ca1Cu2O8,nan,Sr,Cu,Bi,nan,nan,O,nan,very high critical temp(< 185 K)
40.0,C0.47Sr2Ca0.35Y0.65Cu2.48O6.96,nan,Sr,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
41.1,C0.48Sr2Ca0.4Y0.6Cu2.46O6.97,nan,Sr,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
45.5,C0.5Sr2.01Ca0.44Y0.55Cu2.44O6.94,nan,Sr,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
48.9,C0.51Sr2Ca0.5Y0.5Cu2.42O6.92,nan,Sr,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
54.2,C0.53Sr1.99Ca0.56Y0.45Cu2.39O6.94,nan,Sr,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
56.7,C0.54Sr2Ca0.6Y0.4Cu2.38O6.89,nan,Sr,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
60.0,C0.55Sr2.03Ca0.62Y0.35Cu2.35O6.79,nan,Sr,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
60.3,C0.57Sr2Ca0.7Y0.3Cu2.33O6.78,nan,Sr,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
126.0,Hg1Ba2Ca1Cu2O6.24,nan,Ba,Cu,Hg,nan,nan,O,nan,very high critical temp(< 185 K)
92.0,Hg1Ba2Ca1Cu2O6.08,nan,Ba,Cu,Hg,nan,nan,O,nan,very high critical temp(< 185 K)
17.0,Bi0.5Hg0.5Sr4Cu2C1O10,nan,Sr,Cu,Hg,nan,nan,O,nan,moderate critical temp(< 32 K)
102.7,Bi1.6Pb0.3Te0.1Sr2Ca3Cu4O,nan,Ca,Cu,Bi,nan,Te,O,nan,very high critical temp(< 185 K)
7.0,Bi2.1Sr1.9Cu1O,nan,Sr,Cu,Bi,nan,nan,O,nan,low critical temp(< 12 K)
10.5,Bi2.05Pb0.05Sr1.9Cu1O,nan,Sr,Cu,Bi,nan,nan,O,nan,low critical temp(< 12 K)
18.0,Pb0.9Cd0.1Sr2Y0.5Ca0.5Cu2O,nan,Sr,Cu,Pb,nan,nan,O,nan,moderate critical temp(< 32 K)
22.5,Pb0.8Cd0.2Sr2Y0.5Ca0.5Cu2O,nan,Sr,Cu,Pb,nan,nan,O,nan,moderate critical temp(< 32 K)
26.5,Pb0.7Cd0.3Sr2Y0.5Ca0.5Cu2O,nan,Sr,Cu,Pb,nan,nan,O,nan,moderate critical temp(< 32 K)
22.5,Pb0.6Cd0.4Sr2Y0.5Ca0.5Cu2O,nan,Sr,Cu,Pb,nan,nan,O,nan,moderate critical temp(< 32 K)
22.5,Pb0.5Cd0.5Sr2Y0.5Ca0.5Cu2O,nan,Sr,Cu,Cd,nan,nan,O,nan,moderate critical temp(< 32 K)
22.5,Pb0.4Cd0.6Sr2Y0.5Ca0.5Cu2O,nan,Sr,Cu,Cd,nan,nan,O,nan,moderate critical temp(< 32 K)
90.0,Y1Ba2Cu2.7In0.3O6.9,nan,Ba,Cu,In,nan,nan,O,nan,very high critical temp(< 185 K)
77.05,Dy1Ba1Sr1Cu3O6.9,nan,Sr,Cu,nan,Dy,nan,O,nan,very high critical temp(< 185 K)
29.9,Dy1Ba1Sr1Cu3O6.7,nan,Sr,Cu,nan,Dy,nan,O,nan,moderate critical temp(< 32 K)
14.85,Dy1Ba1Sr1Cu3O6.6,nan,Sr,Cu,nan,Dy,nan,O,nan,moderate critical temp(< 32 K)
86.3,Dy1Ba1.5Sr0.5Cu3O6.9,nan,Ba,Cu,nan,Dy,nan,O,nan,very high critical temp(< 185 K)
80.5,Y1Ba2Cu2.9Fe0.1O7,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
48.0,Y1Ba2Cu2.9Fe0.1O6.8,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
33.0,Y1Ba2Cu2.9Fe0.1O6.72,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
4.2,Y1Ba2Cu2.9Fe0.1O6.62,nan,Ba,Cu,nan,nan,nan,O,nan,low critical temp(< 12 K)
81.5,Y1Ba2Cu2.9Ni0.1O7,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
69.5,Y1Ba2Cu2.9Ni0.1O6.88,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
54.5,Y1Ba2Cu2.9Ni0.1O6.85,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
44.0,Y1Ba2Cu2.9Ni0.1O6.77,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
29.0,Y1Ba2Cu2.9Ni0.1O6.71,nan,Ba,Cu,nan,nan,nan,O,nan,moderate critical temp(< 32 K)
20.5,Y1Ba2Cu2.9Ni0.1O6.61,nan,Ba,Cu,nan,nan,nan,O,nan,moderate critical temp(< 32 K)
4.3,Y1Ba2Cu2.9Ni0.1O6.56,nan,Ba,Cu,nan,nan,nan,O,nan,low critical temp(< 12 K)
51.5,Y1Ba2Cu2.9Zn0.1O7,nan,Ba,Cu,Zn,nan,nan,O,nan,high critical temp(< 74 K)
43.5,Y1Ba2Cu2.9Zn0.1O6.99,nan,Ba,Cu,Zn,nan,nan,O,nan,high critical temp(< 74 K)
23.0,Y1Ba2Cu2.9Zn0.1O6.93,nan,Ba,Cu,Zn,nan,nan,O,nan,moderate critical temp(< 32 K)
4.3,Y1Ba2Cu2.9Zn0.1O6.88,nan,Ba,Cu,Zn,nan,nan,O,nan,low critical temp(< 12 K)
3.46,Bi2.1Sr1.85Cu1O6,nan,Sr,Cu,Bi,nan,nan,O,nan,very low critical temp(< 4 K)
7.05,Bi2.1Sr1.85Cu1O6,nan,Sr,Cu,Bi,nan,nan,O,nan,low critical temp(< 12 K)
5.33,Bi2.1Sr1.85Cu1O6,nan,Sr,Cu,Bi,nan,nan,O,nan,low critical temp(< 12 K)
5.74,Bi2.1Sr1.85Cu1O6,nan,Sr,Cu,Bi,nan,nan,O,nan,low critical temp(< 12 K)
6.05,Bi2.1Sr1.85Cu1O6,nan,Sr,Cu,Bi,nan,nan,O,nan,low critical temp(< 12 K)
5.46,Bi2.1Sr1.85Cu1O6,nan,Sr,Cu,Bi,nan,nan,O,nan,low critical temp(< 12 K)
34.0,Bi2Sr8Cu4C3O21,nan,Sr,Cu,Bi,nan,nan,O,nan,high critical temp(< 74 K)
30.0,Bi2Sr8Cu4C3O21,nan,Sr,Cu,Bi,nan,nan,O,nan,moderate critical temp(< 32 K)
40.0,Bi2Sr8Cu4C3O21,nan,Sr,Cu,Bi,nan,nan,O,nan,high critical temp(< 74 K)
91.7,Nd1Ba2Cu3O6.81,nan,Ba,Cu,nan,Nd,nan,O,nan,very high critical temp(< 185 K)
47.6,Nd1.2Ba1.8Cu3O6.91,nan,Ba,Cu,nan,Nd,nan,O,nan,high critical temp(< 74 K)
58.0,Y1Ba2Cu2.85Ni0.075Zn0.075O7,nan,Ba,Cu,Zn,nan,nan,O,nan,high critical temp(< 74 K)
62.0,Y1Ba2Cu2.85Ni0.101Zn0.049O7,nan,Ba,Cu,Zn,nan,nan,O,nan,high critical temp(< 74 K)
64.6,Y1Ba2Cu2.85Ni0.124Zn0.025O7,nan,Ba,Cu,Zn,nan,nan,O,nan,high critical temp(< 74 K)
73.4,Y1Ba2Cu2.85Ni0.15O7,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
87.7,Y1Ba2Cu3O7,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
30.9,BaKBi1O3,K,Ba,nan,Bi,nan,nan,O,nan,moderate critical temp(< 32 K)
28.0,BaKBi1O3,K,Ba,nan,Bi,nan,nan,O,nan,moderate critical temp(< 32 K)
32.0,BaKBi1O3,K,Ba,nan,Bi,nan,nan,O,nan,high critical temp(< 74 K)
17.0,Pr1.87Ce0.13Cu1O4,nan,nan,Cu,nan,Pr,nan,O,nan,moderate critical temp(< 32 K)
25.0,Pr1.86Ce0.14Cu1O4,nan,nan,Cu,nan,Pr,nan,O,nan,moderate critical temp(< 32 K)
22.5,Pr1.85Ce0.15Cu1O4,nan,nan,Cu,nan,Pr,nan,O,nan,moderate critical temp(< 32 K)
12.0,Pr1.83Ce0.17Cu1O4,nan,nan,Cu,nan,Pr,nan,O,nan,low critical temp(< 12 K)
80.0,Bi2Sr2Ca0.95Ce0.05Cu2O8,nan,Sr,Cu,Bi,Ce,nan,O,nan,very high critical temp(< 185 K)
75.455,Bi2Sr2Ca0.9Ce0.1Cu2O8,nan,Sr,Cu,Bi,Ce,nan,O,nan,very high critical temp(< 185 K)
17.0,Bi2Sr2Ca0.8Ce0.2Cu2O8,nan,Sr,Cu,Bi,Ce,nan,O,nan,moderate critical temp(< 32 K)
